match_id,flip,Cum Mat Total,Cum Runs Total,Cum SR,Cumulative Overs,Cumulative Bowling Runs,Cumulative Wkts,Cumulative Econ,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,1,0,0.0,3.0,16.0,3.0,5.33,0.0,0.0,0.0,0.0
225263,0,1,41,110.81,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,1,46,176.92,2.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,1,41,110.81,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,1,34,188.88,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
225263,1,1,18,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,1,46,176.92,2.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225263,1,1,0,0.0,3.0,16.0,3.0,5.33,0.0,0.0,0.0,0.0
225263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,1,18,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,1,19,135.71,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,1,34,188.88,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,1,41,110.81,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
225271,0,1,46,176.92,2.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,1,0,0.0,2.299999952316284,13.0,1.0,5.2,1.0,1.0,0.0,1.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,1,41,110.81,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
225271,1,1,18,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,1,34,188.88,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
225271,1,1,46,176.92,2.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,1,19,135.71,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,1,0,0.0,2.299999952316284,13.0,1.0,5.2,1.0,1.0,0.0,1.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225271,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,2,32,123.07,6.0,47.0,3.0,7.83,1.0,1.0,0.0,0.5
226374,0,2,98,89.09,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.5
226374,0,1,30,120.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,2,7,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226374,0,1,0,0.0,3.0,23.0,1.0,7.66,0.0,0.0,0.0,0.0
226374,0,2,32,111.66,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.5
226374,0,2,7,87.5,5.0,36.0,1.0,6.91,0.0,0.0,0.0,0.0
226374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
