Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,player_id
A Manepalli,Luxembourg,2021,2,2,14,7.0,107.69,36101309
A Manepalli,Luxembourg,2022,6,5,39,10.3,98.63,36101309
A Manepalli,Luxembourg,2024,7,6,45,9.58,93.3,36101309
A Manousis,Greece,2019/20,0,0,0,0.0,0.0,b672e825
A Manousis,Greece,2021,3,3,52,26.0,106.12,b672e825
A Manousis,Greece,2022,7,7,107,21.62,124.05,b672e825
A Mansale,Vanuatu,2018/19,0,0,0,0.0,0.0,a22b4f3f
A Mansale,Vanuatu,2019,4,4,31,7.75,100.0,a22b4f3f
A Mansale,Vanuatu,2019/20,9,9,98,10.89,108.62,a22b4f3f
A Mansale,Vanuatu,2022,14,14,159,11.36,104.96,a22b4f3f
A Mansale,Vanuatu,2022/23,20,19,352,33.76,111.2,a22b4f3f
A Mansale,Vanuatu,2023,21,20,355,32.23,113.14,a22b4f3f
A Mansale,Vanuatu,2023/24,27,26,441,28.1,108.14,a22b4f3f
A Mansale,Vanuatu,2024,28,27,502,29.31,109.78,a22b4f3f
A Martel,Guernsey,2022,0,0,0,0.0,0.0,65cd62a9
A Martel,Guernsey,2023,2,1,23,23.0,191.66,65cd62a9
A Martel,Guernsey,2024,7,5,54,12.86,121.0,65cd62a9
A Martin,West Indies,2011/12,0,0,0,0.0,0.0,3cacbb57
A McAuley,Isle of Man,2020,0,0,0,0.0,0.0,39e599c8
A McAuley,Isle of Man,2021/22,1,1,43,43.0,81.13,39e599c8
A McAuley,Isle of Man,2022,5,5,162,40.33,101.99,39e599c8
A McAuley,Isle of Man,2022/23,9,9,223,29.18,93.29,39e599c8
A McAuley,Isle of Man,2023,15,14,312,25.12,92.08,39e599c8
A McAuley,Isle of Man,2024,18,17,373,24.27,92.14,39e599c8
A Mehmood,Hong Kong,2015/16,0,0,0,0.0,0.0,7cefb2a2
A Mehmood,Hong Kong,2023,2,1,0,0.0,0.0,7cefb2a2
A Mehmood,Hong Kong,2024,3,1,0,0.0,0.0,7cefb2a2
A Mene-Ejegi,Serbia,2022,0,0,0,0.0,0.0,e4f13acd
A Mene-Ejegi,Serbia,2023/24,11,9,106,13.25,160.6,e4f13acd
A Mene-Ejegi,Serbia,2024,12,10,107,12.03,147.87,e4f13acd
A Mishra,India,2010,0,0,0,0.0,0.0,6b19d823
A Mishra,India,2013/14,1,0,0,0.0,0.0,6b19d823
A Mishra,India,2016,7,0,0,0.0,0.0,6b19d823
A Mishra,India,2016/17,8,0,0,0.0,0.0,6b19d823
A Modi,Singapore,2022/23,0,0,0,0.0,0.0,4edfc785
A Mongar,Bhutan,2023,0,0,0,0.0,0.0,940255af
A Morris,Cayman Islands,2019,0,0,0,0.0,0.0,04cf2e94
A Morris,Cayman Islands,2022,6,4,5,2.5,29.41,04cf2e94
A Morris,Cayman Islands,2023/24,8,4,5,2.5,29.41,04cf2e94
A Mundra,Sweden,2024,0,0,0,0.0,0.0,30ffaf85
A Mustafa,Argentina,2021/22,0,0,0,0.0,0.0,a4571ba9
A Mustafa,Argentina,2022/23,1,0,0,0.0,0.0,a4571ba9
A Mutreja,Singapore,2022,0,0,0,0.0,0.0,a2ec22d2
A Mutreja,Singapore,2023,6,6,153,25.5,127.5,a2ec22d2
A Mutreja,Singapore,2024,8,8,154,19.25,103.96,a2ec22d2
A Nanda,Luxembourg,2019,0,0,0,0.0,0.0,704e0160
A Nanda,Luxembourg,2020,3,1,5,5.0,100.0,704e0160
A Nanda,Luxembourg,2021,5,2,7,3.5,75.0,704e0160
A Nanda,Luxembourg,2022,8,3,28,9.33,86.84,704e0160
A Nanda,Luxembourg,2023,14,6,46,7.67,107.71,704e0160
A Nanda,Luxembourg,2023/24,24,11,50,4.64,72.73,704e0160
A Nanda,Luxembourg,2024,26,12,51,4.33,70.84,704e0160
A Nao,Papua New Guinea,2017,0,0,0,0.0,0.0,4d1ec7eb
A Nao,Papua New Guinea,2021/22,2,2,7,3.5,175.0,4d1ec7eb
A Nao,Papua New Guinea,2023,3,3,7,2.33,116.67,4d1ec7eb
A Nao,Papua New Guinea,2023/24,10,5,25,5.0,106.0,4d1ec7eb
A Nao,Papua New Guinea,2024,14,6,55,9.17,138.33,4d1ec7eb
A Nathwani,Austria,2019,0,0,0,0.0,0.0,f1c4f2ea
A Nathwani,Austria,2021,5,1,1,1.0,100.0,f1c4f2ea
A Nathwani,Austria,2022,7,1,1,1.0,100.0,f1c4f2ea
A Nathwani,Austria,2023,20,5,11,8.2,70.0,f1c4f2ea
A Natubhai Ahir,Panama,2019,0,0,0,0.0,0.0,9c91218d
A Natubhai Ahir,Panama,2021/22,3,3,64,21.33,108.47,9c91218d
A Natubhai Ahir,Panama,2022/23,8,8,85,10.62,69.84,9c91218d
A Natubhai Ahir,Panama,2023/24,12,12,170,14.17,93.78,9c91218d
A Ndlovu,Zimbabwe,2019,0,0,0,0.0,0.0,3abe1ef6
A Ndlovu,Zimbabwe,2022,3,1,2,2.0,50.0,3abe1ef6
A Ndlovu,Zimbabwe,2023/24,6,3,25,8.33,71.43,3abe1ef6
A Ndlovu,Zimbabwe,2024,10,4,28,7.0,68.57,3abe1ef6
A Nehra,India,2009/10,0,0,0,0.0,0.0,96fd40ae
A Nehra,India,2010,2,1,22,22.0,169.23,96fd40ae
A Nehra,India,2010/11,7,3,22,7.33,56.41,96fd40ae
A Nehra,India,2015/16,8,3,22,7.33,56.41,96fd40ae
A Nehra,India,2016/17,23,5,28,5.6,44.28,96fd40ae
A Nehra,India,2017/18,26,5,28,5.6,44.28,96fd40ae
A Neill,Scotland,2018/19,0,0,0,0.0,0.0,4957b300
A Neill,Scotland,2019,1,0,0,0.0,0.0,4957b300
A Neill,Scotland,2019/20,4,0,0,0.0,0.0,4957b300
A Nel,South Africa,2005/06,0,0,0,0.0,0.0,2503e881
A Nel,South Africa,2007/08,1,1,0,0.0,0.0,2503e881
A Nimaga,Mali,2024,0,0,0,0.0,0.0,bc304f82
A Nortje,South Africa,2019/20,0,0,0,0.0,0.0,acdc62f5
A Nortje,South Africa,2020/21,3,1,2,2.0,33.33,acdc62f5
A Nortje,South Africa,2021,5,1,2,2.0,33.33,acdc62f5
A Nortje,South Africa,2021/22,11,4,6,3.5,35.6,acdc62f5
