team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_players1,team2_players2,team2_players3,team2_players4,team2_players5,team2_players6,team2_players7,team2_players8,team2_players9,team2_players10,team2_players11,match_id
Shamima Sultana,Murshida Khatun,S Mostary,Nigar Sultana,Shorna Akter,Rumana Ahmed,Ritu Moni,Nahida Akter,Marufa Akter,Fahima Khatun,Salma Khatun,AJ Healy,BL Mooney,MM Lanning,A Gardner,EA Perry,TM McGrath,GM Harris,G Wareham,A King,ML Schutt,D Brown,1338047
HK Matthews,SR Taylor,SA Campbelle,CA Henry,CN Nation,S Gajnabi,ASS Fletcher,RS Williams,SS Connell,SC Selman,K Ramharack,Shafali Verma,S Mandhana,JI Rodrigues,H Kaur,RM Ghosh,DP Vaidya,DB Sharma,P Vastrakar,RP Yadav,RS Gayakwad,Renuka Singh,1338048
Muneeba Ali,Javeria Khan,Bismah Maroof,Nida Dar,Ayesha Naseem,Aliya Riaz,Fatima Sana,Aiman Anwer,Tuba Hassan,Nashra Sandhu,Sadia Iqbal,A Hunter,GH Lewis,O Prendergast,L Delany,EAJ Richardson,L Little,MV Waldron,L Paul,AN Kelly,C Murray,J Maguire,1338049
H Madavi,AC Jayangani,RMVD Gunaratne,OU Ranasinghe,MAA Sanjeewani,NND de Silva,KADA Kanchana,M Shehani,BMSM Kumari,I Ranaweera,WGAKK Kulasuriya,AJ Healy,BL Mooney,MM Lanning,A Gardner,EA Perry,TM McGrath,GM Harris,G Wareham,A King,ML Schutt,D Brown,1338050
B Bezuidenhout,SW Bates,AC Kerr,SFM Devine,ML Green,GE Plimmer,HM Rowe,LMM Tahuhu,JM Kerr,MM Penfold,EJ Carson,Shamima Sultana,Murshida Khatun,S Mostary,Nigar Sultana,Shorna Akter,Rumana Ahmed,Ritu Moni,Nahida Akter,Fahima Khatun,Salma Khatun,Marufa Akter,1338051
A Hunter,GH Lewis,O Prendergast,EAJ Richardson,L Little,L Delany,AN Kelly,MV Waldron,L Paul,C Murray,J Maguire,HK Matthews,RS Williams,SA Campbelle,CA Henry,S Gajnabi,AA Alleyne,Z James,T Holder,ASS Fletcher,K Ramharack,SS Connell,1338052
SIR Dunkley,DN Wyatt,A Capsey,NR Sciver-Brunt,HC Knight,AE Jones,S Ecclestone,KH Sciver-Brunt,S Glenn,CE Dean,LK Bell,S Mandhana,Shafali Verma,JI Rodrigues,H Kaur,RM Ghosh,DB Sharma,P Vastrakar,RP Yadav,S Pandey,RS Gayakwad,Renuka Singh,1338053
L Wolvaardt,T Brits,M Kapp,S Luus,CL Tryon,D Tucker,N de Klerk,S Jafta,S Ismail,M Klaas,N Mlaba,BL Mooney,EA Perry,MM Lanning,A Gardner,TM McGrath,GM Harris,G Wareham,A Sutherland,A King,ML Schutt,D Brown,1338054
HK Matthews,RS Williams,SA Campbelle,CA Henry,S Gajnabi,AA Alleyne,ASS Fletcher,T Holder,Z James,SS Connell,K Ramharack,Muneeba Ali,Sidra Ameen,Bismah Maroof,Nida Dar,Aliya Riaz,Fatima Sana,Umaima Sohail,Aiman Anwer,Tuba Hassan,Nashra Sandhu,Sadia Iqbal,1338055
B Bezuidenhout,SW Bates,AC Kerr,SFM Devine,ML Green,GE Plimmer,HM Rowe,LMM Tahuhu,JM Kerr,EJ Carson,FC Jonas,H Madavi,AC Jayangani,RMVD Gunaratne,NND de Silva,MAA Sanjeewani,WK Dilhari,OU Ranasinghe,M Shehani,BMSM Kumari,I Ranaweera,WGAKK Kulasuriya,1338056
Shafali Verma,S Mandhana,H Kaur,RM Ghosh,JI Rodrigues,DB Sharma,P Vastrakar,DP Vaidya,S Pandey,RS Gayakwad,Renuka Singh,A Hunter,GH Lewis,O Prendergast,L Delany,EAJ Richardson,L Little,MV Waldron,L Paul,G Dempsey,C Murray,AN Kelly,1338057
DN Wyatt,SIR Dunkley,A Capsey,NR Sciver-Brunt,HC Knight,AE Jones,S Ecclestone,KH Sciver-Brunt,S Glenn,CE Dean,FR Davies,Sadaf Shamas,Muneeba Ali,Umaima Sohail,Sidra Ameen,Nida Dar,Aliya Riaz,Fatima Sana,Sidra Nawaz,Tuba Hassan,Nashra Sandhu,Sadia Iqbal,1338058
Shamima Sultana,Murshida Khatun,S Mostary,Nigar Sultana,Shorna Akter,Fargana Hoque,Nahida Akter,Lata Mondal,Fahima Khatun,Marufa Akter,Jahanara Alam,L Wolvaardt,T Brits,M Kapp,S Luus,CL Tryon,A Bosch,N de Klerk,S Jafta,S Ismail,A Khaka,N Mlaba,1338059
AJ Healy,BL Mooney,MM Lanning,A Gardner,GM Harris,EA Perry,TM McGrath,G Wareham,JL Jonassen,ML Schutt,D Brown,Shafali Verma,S Mandhana,YH Bhatia,JI Rodrigues,H Kaur,RM Ghosh,DB Sharma,S Rana,RP Yadav,S Pandey,Renuka Singh,1338060
L Wolvaardt,T Brits,M Kapp,CL Tryon,N de Klerk,S Luus,A Bosch,S Jafta,S Ismail,A Khaka,N Mlaba,DN Wyatt,SIR Dunkley,A Capsey,NR Sciver-Brunt,HC Knight,AE Jones,S Ecclestone,KH Sciver-Brunt,S Glenn,CE Dean,LK Bell,1338061
AJ Healy,BL Mooney,A Gardner,GM Harris,MM Lanning,EA Perry,G Wareham,TM McGrath,JL Jonassen,ML Schutt,D Brown,L Wolvaardt,T Brits,M Kapp,S Luus,CL Tryon,N de Klerk,A Bosch,S Jafta,S Ismail,A Khaka,N Mlaba,1338062
G Stewart,D Samarawickrama,M Campopiano,Anik Ahmed,CJPF Kalugamage,GP Meade,Gurpreet Singh,P Sadev,DKD Warnakulasuriya,Ali Hasan,Anmoldeep Singh,J Broad,Talha Khan,Ghulam Ahmadi,Muslim Yar,Abdul-Shakoor Rahimzei,J van Heerden,W Behr,D Klein,Sahir Naqash,MJ Richardson,DA Blignaut,1339205
G Stewart,Waleed Rana,M Campopiano,P Fernando,Anik Ahmed,GP Meade,Gurpreet Singh,Anmoldeep Singh,A Denuwan,DKD Warnakulasuriya,P Sadev,J Broad,Talha Khan,J van Heerden,MJ Richardson,Abdul-Shakoor Rahimzei,Sahir Naqash,Muslim Yar,SVE Bharathi,D Klein,Ghulam Ahmadi,DA Blignaut,1339206
G Stewart,Waleed Rana,M Campopiano,D Samarawickrama,Anik Ahmed,GP Meade,DKD Warnakulasuriya,P Fernando,P Sadev,A Denuwan,Anmoldeep Singh,D Doyle-Calle,Muhammad Yasin,Yasir Ali,P Dhiman,Hamza Dar,LA Burns,C Munoz-Mills,Mohammad Ihsan,Mohammad Kamran,Atif Mehmood,Raja Adeel,1339207
J Broad,Talha Khan,J van Heerden,MJ Richardson,DA Blignaut,Sahir Naqash,D Klein,Muslim Yar,Ghulam Ahmadi,W Behr,SVE Bharathi,D Doyle-Calle,Muhammad Yasin,Yasir Ali,P Dhiman,LA Burns,Hamza Dar,C Munoz-Mills,Mohammad Ihsan,Mohammad Kamran,C Rumistrzewicz,Raja Adeel,1339208
D Doyle-Calle,Muhammad Yasin,Yasir Ali,P Dhiman,Mohammad Kamran,Hamza Dar,C Munoz-Mills,Mohammad Ihsan,LA Burns,C Rumistrzewicz,Raja Adeel,J Broad,Talha Khan,MJ Richardson,DA Blignaut,Sahir Naqash,Muslim Yar,D Klein,Ghulam Ahmadi,SVE Bharathi,Sachin Mandy,W Behr,1339209
G Stewart,Waleed Rana,M Campopiano,D Samarawickrama,Anik Ahmed,P Sadev,Gurpreet Singh,Anmoldeep Singh,A Denuwan,DKD Warnakulasuriya,Ali Hasan,D Doyle-Calle,Muhammad Yasin,Yasir Ali,Mohammad Kamran,Hamza Dar,C Munoz-Mills,P Dhiman,LA Burns,Mohammad Ihsan,C Rumistrzewicz,Raja Adeel,1339210
EMC Fowler,P Chilongia,Uswa Syed,NH Berejo,Wania Malik,A Brown-Carrera,Muskan Naseeb,Rabia Iqbal,Tashiba Mirza,JG Kaur,Zenab Iqbal,Ayesha Hasan,Farial Zia Safdar,Pooja Kumari,R Immadi,Bijeyata Kumari,Mahnoor Akram,Hina Hussain,S Kunaratnam,Lopamudra,A Rautela,Mirab Razwan,1339555
P Chilongia,EMC Fowler,Uswa Syed,NH Berejo,Wania Malik,A Brown-Carrera,Hifsa Butt,Muskan Naseeb,JG Kaur,Rabia Iqbal,Tashiba Mirza,Kanchan Rana,S Lundell,G Shukla,RG Somashekhar,Jayasooriya,M Alugunoolla,Eman Asim,A Vaidya,S Linden,S Elmsjoo,N Kayani,1339558
Q de Kock,RR Hendricks,RR Rossouw,AK Markram,DA Miller,H Klaasen,WD Parnell,SSB Magala,BC Fortuin,A Nortje,T Shamsi,BA King,KR Mayers,J Charles,N Pooran,R Powell,R Shepherd,OF Smith,AJ Hosein,RL Chase,AS Joseph,SS Cottrell,1339604
BA King,KR Mayers,J Charles,N Pooran,R Powell,R Shepherd,OF Smith,RA Reifer,JO Holder,AJ Hosein,SS Cottrell,Q de Kock,RR Hendricks,RR Rossouw,DA Miller,AK Markram,H Klaasen,M Jansen,WD Parnell,SSB Magala,K Rabada,T Shamsi,1339605
BA King,KR Mayers,J Charles,N Pooran,R Powell,RA Reifer,JO Holder,RL Chase,R Shepherd,AS Joseph,SS Cottrell,Q de Kock,RR Hendricks,RR Rossouw,DA Miller,AK Markram,H Klaasen,WD Parnell,BC Fortuin,K Rabada,A Nortje,L Ngidi,1339606
Mohammad Rizwan,Babar Azam,Fakhar Zaman,Saim Ayub,Shadab Khan,Iftikhar Ahmed,Imad Wasim,Faheem Ashraf,Shaheen Shah Afridi,Haris Rauf,Zaman Khan,TWM Latham,CJ Bowes,WA Young,DJ Mitchell,MS Chapman,JDS Neesham,R Ravindra,AF Milne,IS Sodhi,MJ Henry,BG Lister,1339614
Mohammad Rizwan,Babar Azam,Fakhar Zaman,Saim Ayub,Imad Wasim,Iftikhar Ahmed,Shadab Khan,Faheem Ashraf,Shaheen Shah Afridi,Haris Rauf,Zaman Khan,TWM Latham,CJ Bowes,WA Young,MS Chapman,DJ Mitchell,JDS Neesham,R Ravindra,CE McConchie,HB Shipley,MJ Henry,BG Lister,1339615
TWM Latham,CJ Bowes,WA Young,DJ Mitchell,MS Chapman,JDS Neesham,R Ravindra,AF Milne,MJ Henry,IS Sodhi,BG Lister,Mohammad Rizwan,Babar Azam,Fakhar Zaman,Saim Ayub,Shadab Khan,Imad Wasim,Shaheen Shah Afridi,Iftikhar Ahmed,Faheem Ashraf,Naseem Shah,Haris Rauf,1339616
Mohammad Rizwan,Babar Azam,Mohammad Haris,Saim Ayub,Iftikhar Ahmed,Imad Wasim,Faheem Ashraf,Shadab Khan,Shaheen Shah Afridi,Haris Rauf,Ihsanullah,TWM Latham,CJ Bowes,WA Young,DJ Mitchell,MS Chapman,JDS Neesham,R Ravindra,AF Milne,BM Tickner,IS Sodhi,HB Shipley,1339618
K Motlanka,R Nehonde,T Perera,V Balakrishnan,V Mbazo,P Silas,T Tshose,B Maphosa,D Maisuria,M Mooketsi,B Khumalo,O Tuyisenge,E Dusingizimana,W Niyitanga,C Rububagumya,E Niyomugabo,E Sebareme,D Ndikubwimana,V Mitari,K Irakoze,M Akayezu,Z Bimenyimana,1343740
Maaz Khan,C Tlali,Sameer Patel,LM Gabriel,Waseem Yaqoob,Khan Arbaaz,YYM Jakda,ME Leoela,TD Chaoana,MV Matsau,TG Thamae,M Sidibe,Mohamed Coulibaly,D Traore,MS Diawara,MT Diaby,CA Keita,TM Macalou,SG Diaby,MS Diakite,S Kamate,L Sanogo,1343741
O Tuyisenge,E Dusingizimana,W Niyitanga,C Rububagumya,E Sebareme,M Akayezu,E Niyomugabo,D Ndikubwimana,Z Bimenyimana,V Mitari,K Irakoze,A Langham,AR Leo,B Isaac,S Crowie,CR Richards,A Yon,J Henry,R Francis,BK Stroud,G Johnson,JKP Ellick,1343744
C Tlali,LM Gabriel,AAA Patel,Maaz Khan,Waseem Yaqoob,Sameer Patel,TD Chaoana,V Jayant,YYM Jakda,ME Leoela,MV Matsau,K Motlanka,R Nehonde,T Perera,M Mooketsi,P Silas,V Mbazo,B Kgosiemang,K Piet,V Balakrishnan,D Maisuria,T Tshose,1343745
MT Diaby,Mohamed Coulibaly,M Sidibe,L Berthe,CA Keita,MS Diawara,TM Macalou,S Kamate,L Sanogo,SG Diaby,D Traore,P Sharma,CO Obuya,LN Oluoch,NM Odhiambo,P Koech,IA Karim,RR Patel,SR Bhudia,SO Ngoche,Tanzeel Sheikh,Vraj Patel,1343749
O Tuyisenge,E Dusingizimana,W Niyitanga,C Rububagumya,E Niyomugabo,E Sebareme,D Ndikubwimana,M Akayezu,K Irakoze,Z Bimenyimana,V Mitari,RN Patel,CO Obuya,IA Karim,LN Oluoch,NM Odhiambo,Vraj Patel,SR Bhudia,Tanzeel Sheikh,SO Ngoche,P Koech,RR Patel,1343750
RN Patel,S Singh,NM Odhiambo,IA Karim,SR Bhudia,RR Patel,SO Ngoche,Vraj Patel,CO Obuya,EB Ringera,P Koech,LM Gabriel,Waseem Yaqoob,C Tlali,Maaz Khan,Sameer Patel,YYM Jakda,V Jayant,TG Thamae,MV Matsau,ME Leoela,TD Chaoana,1343753
Mohamed Coulibaly,MS Diawara,TM Macalou,MS Diakite,MT Diaby,SG Diaby,M Sidibe,CA Keita,S Kamate,D Traore,L Sanogo,K Motlanka,V Balakrishnan,T Perera,P Silas,R Mbaiwa,K Piet,R Nehonde,B Kgosiemang,D Maisuria,B Khumalo,M Mooketsi,1343756
AR Leo,A Langham,DL Richards,A Yon,J Henry,S Crowie,R Francis,CR Richards,B Isaac,BK Stroud,G Johnson,LM Gabriel,Waseem Yaqoob,Maaz Khan,C Tlali,Sameer Patel,YYM Jakda,V Jayant,Khan Arbaaz,TD Chaoana,TG Thamae,MV Matsau,1343757
AR Leo,A Langham,A Yon,J Henry,R Francis,S Crowie,CR Richards,DL Richards,B Isaac,BK Stroud,G Johnson,D Kansonkho,Sami Sohail,MA Baig,C Chete,M Choamba,G Kansonkho,GM Ntambalika,B Pondani,B Masauko,D Jakiel,A Limdawala,1343760
O Tuyisenge,E Dusingizimana,W Niyitanga,C Rububagumya,M Akayezu,E Niyomugabo,K Irakoze,Z Bimenyimana,D Ndikubwimana,E Sebareme,V Mitari,Mazharul Islam,TKP Rajapaksha,STRA de Silva,SKDT Madusanka,D Kalvin,P Abhijit,N Krishna,SR Rocket,HL Harji,T Shanmugam,S Rukmal,1343761
K Motlanka,V Balakrishnan,T Perera,R Nehonde,P Silas,V Mbazo,T Tshose,B Maphosa,M Mooketsi,D Maisuria,K Piet,RN Patel,CO Obuya,IA Karim,RR Patel,NM Odhiambo,Vraj Patel,LN Oluoch,SR Bhudia,Tanzeel Sheikh,SO Ngoche,P Koech,1343762
MT Diaby,Mohamed Coulibaly,S Kamate,L Sanogo,Z Makadji,L Berthe,M Malle,MS Diakite,CA Keita,MS Diawara,TM Macalou,O Tuyisenge,E Dusingizimana,D Ndikubwimana,C Rububagumya,E Niyomugabo,Z Bimenyimana,V Mitari,K Irakoze,M Akayezu,W Niyitanga,E Sebareme,1343763
Mazharul Islam,TKP Rajapaksha,SKDT Madusanka,STRA de Silva,VL Mukesh,S Udhayan,P Abhijit,SR Rocket,HL Harji,N Krishna,S Rukmal,P Sharma,S Singh,Tanzeel Sheikh,IA Karim,RN Patel,RR Patel,Vraj Patel,EB Ringera,LN Oluoch,SO Ngoche,P Koech,1343764
J Bangura,A Gbla,G Ngegba,M Kpaka,L Lamin,Zahid Khan,Mohamed Khan,G Sesay,C Bah,R Coker,S Conteh,AR Patwa,II Selemani,AP Rajeevan,HA Chohan,AM Kimote,Jitin Singh,K Nassoro,MO Kitunda,YM Nkanya,SA Jumbe,S Thakor,1343768
J Bulele,F Damiao Couana,L Emilio,JM Joao,AA Navicha,FE Carava,FA Cossa,LA Simango,DV Macome,AT Chuvale,CB Roposo,Sulaimon Runsewe,AA Onikoyi,A Shreshta,AE Isesele,SA Okpe,P Aho,CN Onwuzulike,R Abdulkareem,P Useni,IO Okpe,C Udekwe,1343770
Andre Jarju,Mustapha Suwareh,Muhammed Manga,A Conteh,G Riley,Ismaila Tanba,F Campbell,Ousman Bah,ML Bojang,P Campbell,M Jobarteh,T Sandeep,C Forbes,Naeem Gull,Adil Butt,W Dlamini,H Rashid,Umair Qasim,M Jele,Mohammed Alamgir,M Magagula,D Polpitiya,1343771
J Bangura,I Kamara,G Ngegba,A Gbla,L Lamin,M Kpaka,S Conteh,R Coker,Mohamed Khan,G Sesay,C Bah,Sulaimon Runsewe,AA Onikoyi,A Shreshta,AE Isesele,CN Onwuzulike,IO Okpe,P Aho,P Useni,R Abdulkareem,SA Okpe,C Udekwe,1343772
JK Vifah,SK Awiah,R Bakum,Devender Singh,Amoluk Singh,DK Anefie,R Baaleri,G Bakiweyem,TK Joseph,KS Bagabena,Aziz Sualley,J Bulele,F Damiao Couana,FE Carava,JJ Huo,FA Cossa,AA Navicha,LA Simango,L Emilio,JM Joao,CB Roposo,DV Macome,1343773
BN Toube,I Tchakou,JB Abega,RGA Amah,P Abanda,AN Toube,DB Loic,AN Aminou,AR Balla,AB Mengoumou,CB Ondoa,G Ngegba,A Turay,A Gbla,Zahid Khan,I Kamara,L Lamin,J Bangura,G Sesay,R Coker,C Bah,S Williams,1343774
T Sandeep,Adil Butt,Naeem Gull,C Forbes,H Rashid,Umair Qasim,Mohammed Alamgir,D Polpitiya,Eric Phiri,M Jele,M Magagula,J Bulele,F Damiao Couana,JJ Huo,DV Macome,CB Roposo,L Emilio,AA Navicha,FE Carava,ZE Matsinhe,FA Cossa,LI Salomone,1343775
BN Toube,I Tchakou,JB Abega,RGA Amah,P Abanda,AN Toube,DB Loic,AN Aminou,AR Balla,CB Ondoa,RD Atangana,J Bulele,F Damiao Couana,JJ Huo,ZE Matsinhe,AA Navicha,LA Simango,L Emilio,CB Roposo,LF Mavume,DV Macome,FA Cossa,1343776
Sulaimon Runsewe,A Shreshta,JO Adedeji,CN Onwuzulike,IO Okpe,P Useni,SA Okpe,AE Isesele,R Abdulkareem,P Aho,C Udekwe,T Sandeep,C Forbes,Adil Butt,Naeem Gull,Umair Qasim,W Dlamini,H Rashid,Eric Phiri,M Jele,D Polpitiya,M Magagula,1343777
JK Vifah,SK Awiah,A Osei,R Bakum,OH Agbomadzie,Devender Singh,R Baaleri,DK Anefie,TK Joseph,KS Bagabena,G Bakiweyem,AR Patwa,II Selemani,S Thakor,AP Rajeevan,K Nassoro,MO Kitunda,Akhil Anil,SA Jumbe,HA Chohan,AM Kimote,YM Nkanya,1343778
J Bulele,F Damiao Couana,FA Cossa,JJ Huo,L Emilio,DV Macome,LF Mavume,CB Roposo,LA Simango,AA Navicha,ZE Matsinhe,AR Patwa,II Selemani,AP Rajeevan,K Nassoro,MO Kitunda,Akhil Anil,YM Nkanya,AM Kimote,SA Jumbe,HA Chohan,S Thakor,1343780
A Gbla,A Turay,G Ngegba,L Lamin,Zahid Khan,G Sesay,M Kpaka,Mohamed Khan,R Coker,S Conteh,J Bangura,Adil Butt,T Sandeep,Umair Qasim,Naeem Gull,H Rashid,M Jele,M Magagula,Eric Phiri,C Forbes,D Polpitiya,W Dlamini,1343781
BN Toube,I Tchakou,JB Abega,RGA Amah,P Abanda,AN Toube,DB Loic,AR Balla,AN Aminou,CB Ondoa,RD Atangana,Sulaimon Runsewe,A Shreshta,JO Adedeji,P Aho,IO Okpe,SA Okpe,Mohameed Taiwo,CN Onwuzulike,AE Isesele,Joshua Asia,R Abdulkareem,1343782
Amoluk Singh,SK Awiah,JK Vifah,R Baaleri,OH Agbomadzie,R Bakum,DK Anefie,TK Joseph,KS Bagabena,G Bakiweyem,P Ayoleyine,R Coker,A Turay,G Ngegba,G Sesay,C Bah,A Gbla,Zahid Khan,Mohamed Khan,L Lamin,S Conteh,J Bangura,1343783
AR Patwa,II Selemani,AP Rajeevan,S Thakor,K Nassoro,MO Kitunda,Akhil Anil,HA Chohan,SA Jumbe,AM Kimote,YM Nkanya,T Sandeep,C Forbes,Adil Butt,Naeem Gull,Eric Phiri,Umair Qasim,H Rashid,M Jele,Mohammed Alamgir,M Magagula,D Polpitiya,1343784
Andre Jarju,Muhammed Manga,Mustapha Suwareh,Ousman Bah,A Conteh,Abubacarr Kuyateh,Ismaila Tanba,ML Bojang,P Campbell,F Thorpe,M Jobarteh,G Ngegba,R Coker,L Lamin,Mohamed Khan,Zahid Khan,A Gbla,C Bah,M Kpaka,S Conteh,J Bangura,G Sesay,1343785
Muhammed Manga,Ousman Bah,A Conteh,Andre Jarju,Ismaila Tanba,Abubacarr Kuyateh,Mustapha Suwareh,G Riley,F Thorpe,M Jobarteh,O Touray,AR Patwa,II Selemani,K Nassoro,Jitin Singh,AM Kimote,MO Kitunda,S Thakor,YM Nkanya,M Yunusu Issa,AP Rajeevan,JJ Nyambo,1343786
JK Vifah,SK Awiah,OH Agbomadzie,Devender Singh,R Bakum,TK Joseph,DK Anefie,R Baaleri,KS Bagabena,G Bakiweyem,P Ayoleyine,Muhammed Manga,ML Bojang,Abubacarr Kuyateh,Ismaila Tanba,A Conteh,Ousman Bah,F Campbell,Mustapha Suwareh,Andre Jarju,M Jobarteh,O Touray,1343788
J Bulele,F Damiao Couana,JJ Huo,FA Cossa,AA Navicha,L Emilio,LI Salomone,LF Mavume,CB Roposo,ZE Matsinhe,DV Macome,Andre Jarju,Muhammed Manga,Mustapha Suwareh,A Conteh,Ismaila Tanba,Abubacarr Kuyateh,F Campbell,ML Bojang,M Jobarteh,P Campbell,Ousman Bah,1343791
Muhammed Manga,Mustapha Suwareh,Abubacarr Kuyateh,A Conteh,Ousman Bah,Ismaila Tanba,ML Bojang,F Campbell,M Jobarteh,P Campbell,O Touray,BN Toube,I Tchakou,RGA Amah,JB Abega,AN Toube,AB Mengoumou,DB Loic,P Abanda,CB Ondoa,AN Aminou,RD Atangana,1343793
JK Vifah,SK Awiah,OH Agbomadzie,R Bakum,Devender Singh,DK Anefie,R Baaleri,P Ayoleyine,TK Joseph,KS Bagabena,G Bakiweyem,Sulaimon Runsewe,A Shreshta,AE Isesele,CN Onwuzulike,IO Okpe,P Useni,Joshua Asia,SA Okpe,R Abdulkareem,P Aho,C Udekwe,1343794
AR Patwa,II Selemani,S Thakor,MO Kitunda,AP Rajeevan,K Nassoro,Akhil Anil,M Yunusu Issa,YM Nkanya,AM Kimote,JJ Nyambo,I Tchakou,CB Ondoa,P Abanda,BN Toube,AR Balla,AN Toube,RGA Amah,JB Abega,N Ndouteng,AB Mengoumou,RD Atangana,1343795
AA Alleyne,HK Matthews,Kycia A Knight,RS Williams,D Joseph,SA Campbelle,CA Henry,S Gajnabi,ASS Fletcher,CS Fraser,K Ramharack,SIR Dunkley,DN Wyatt,L Winfield-Hill,NR Sciver,HC Knight,AE Jones,ME Bouchier,S Ecclestone,KH Brunt,S Glenn,LK Bell,1343934
DN Wyatt,SIR Dunkley,L Winfield-Hill,HC Knight,ME Bouchier,AN Davidson-Richards,KH Brunt,S Glenn,CE Dean,LK Bell,FR Davies,AA Alleyne,HK Matthews,Kycia A Knight,RS Williams,D Joseph,SA Campbelle,CA Henry,S Gajnabi,ASS Fletcher,CS Fraser,K Ramharack,1343935
L Winfield-Hill,SIR Dunkley,NR Sciver,HC Knight,AE Jones,AN Davidson-Richards,ME Bouchier,S Ecclestone,CE Dean,S Glenn,FR Davies,HK Matthews,AA Alleyne,Kycia A Knight,RS Williams,SA Campbelle,T Holder,ASS Fletcher,S Gajnabi,CS Fraser,SS Grimmond,K Ramharack,1343936
L Winfield-Hill,SIR Dunkley,NR Sciver,AE Jones,ME Bouchier,HC Knight,S Ecclestone,KH Brunt,CE Dean,S Glenn,LK Bell,HK Matthews,AA Alleyne,RS Williams,SA Campbelle,D Joseph,T Holder,ASS Fletcher,CS Fraser,SS Grimmond,K Schultz,S Gajnabi,1343937
HK Matthews,AA Alleyne,D Joseph,RS Williams,S Gajnabi,T Holder,Kyshona A Knight,ASS Fletcher,CS Fraser,SS Grimmond,K Ramharack,DN Wyatt,SIR Dunkley,NR Sciver,HC Knight,AE Jones,AN Davidson-Richards,ME Bouchier,S Ecclestone,CE Dean,IECM Wong,FR Davies,1343938
B de Leede,SL Kalis,R Rijke,F Overdijk,IJR Zwilling,RM van Oosterom,EN Lynch,AH Thomson,HWA Landheer,S Siegers,C de Lange,N Koncharoenkai,N Chantam,N Chaiwai,T Putthawong,C Sutthiruang,S Laomi,R Kanoh,P Maya,O Kamchomphu,Nanthita Boonsukham,B Leephatthana,1344507
N Koncharoenkai,N Chantam,N Chaiwai,C Sutthiruang,O Kamchomphu,S Tippoch,S Laomi,B Leephatthana,N Boochatham,P Maya,T Putthawong,B de Leede,HDJ Siegers,SL Kalis,R Rijke,IJR Zwilling,EN Lynch,AH Thomson,J van Vliet,C de Lange,HWA Landheer,S Siegers,1344508
B de Leede,HDJ Siegers,SL Kalis,R Rijke,IJR Zwilling,F Overdijk,AH Thomson,EN Lynch,HWA Landheer,S Siegers,C de Lange,N Koncharoenkai,N Chantam,C Sutthiruang,S Laomi,R Kanoh,S Tippoch,P Maya,O Kamchomphu,N Boochatham,N Chaiwai,T Putthawong,1344509
N Chantam,N Koncharoenkai,S Tippoch,N Chaiwai,P Maya,C Sutthiruang,R Kanoh,Nanthita Boonsukham,O Kamchomphu,S Laomi,T Putthawong,B de Leede,HDJ Siegers,SL Kalis,R Rijke,IJR Zwilling,F Overdijk,AH Thomson,EN Lynch,S Siegers,C de Lange,HWA Landheer,1344510
YH Bhatia,S Mandhana,H Deol,JI Rodrigues,DP Vaidya,DB Sharma,AB Kaur,S Rana,RP Yadav,RS Gayakwad,K Anjali Sarvani,L Wolvaardt,A Bosch,M Kapp,S Luus,CL Tryon,D Tucker,N de Klerk,S Jafta,M Klaas,A Khaka,N Mlaba,1344511
L Wolvaardt,A Bosch,M Kapp,S Luus,CL Tryon,D Tucker,N de Klerk,S Jafta,M Klaas,A Khaka,N Mlaba,HK Matthews,B Cooper,RS Williams,SA Campbelle,S Gajnabi,CN Nation,ASS Fletcher,SS Connell,SC Selman,K Ramharack,K Schultz,1344512
YH Bhatia,S Mandhana,H Deol,H Kaur,JI Rodrigues,DP Vaidya,DB Sharma,AB Kaur,RP Yadav,S Pandey,RS Gayakwad,RS Williams,B Cooper,SA Campbelle,S Gajnabi,HK Matthews,ASS Fletcher,SJ Bruce,SS Connell,K Ramharack,CN Nation,K Schultz,1344513
RS Williams,B Cooper,SA Campbelle,SS Grimmond,S Gajnabi,HK Matthews,ASS Fletcher,SS Connell,SJ Bruce,K Ramharack,K Schultz,L Wolvaardt,T Brits,M Kapp,S Luus,CL Tryon,A Dercksen,N de Klerk,S Jafta,TS Sekhukhune,M Klaas,N Mlaba,1344514
HK Matthews,RS Williams,SA Campbelle,D Joseph,S Gajnabi,Z James,AA Alleyne,SS Connell,ASS Fletcher,J Glasgow,T Holder,S Mandhana,JI Rodrigues,H Deol,H Kaur,YH Bhatia,DP Vaidya,DB Sharma,P Vastrakar,S Pandey,RS Gayakwad,Renuka Singh,1344516
S Mandhana,JI Rodrigues,H Deol,H Kaur,DB Sharma,P Vastrakar,YH Bhatia,DP Vaidya,S Rana,RS Gayakwad,Renuka Singh,L Wolvaardt,T Brits,L Goodall,S Luus,CL Tryon,A Dercksen,N de Klerk,S Jafta,S Ismail,A Khaka,N Mlaba,1344517
SFM Devine,SW Bates,AC Kerr,ML Green,LMM Tahuhu,LR Down,HNK Jensen,GE Plimmer,JT McFadyen,JM Kerr,FC Jonas,Murshida Khatun,Dilara Akter,Nigar Sultana,Fargana Hoque,Rumana Ahmed,Ritu Moni,Fahima Khatun,Salma Khatun,Nahida Akter,Sanjida Akter Meghla,Jahanara Alam,1344619
