team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_players1,team2_players2,team2_players3,team2_players4,team2_players5,team2_players6,team2_players7,team2_players8,team2_players9,team2_players10,team2_players11,match_id
Mohammad Shahzad,Najeeb Tarakai,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Gulbadin Naib,Najibullah Zadran,Rashid Khan,Amir Hamza,Dawlat Zadran,Fareed Ahmad,PR Stirling,SW Poynter,WTS Porterfield,KJ O'Brien,GC Wilson,GJ Thompson,AR McBrine,GH Dockrell,WB Rankin,J Little,J Mulder,1074958
SJ Myburgh,MJG Rippon,BN Cooper,W Barresi,RE van der Merwe,PW Borren,MP O'Dowd,Ahsan Malik,PA van Meekeren,T van der Gugten,PM Seelaar,A Poulose,Zeeshan Maqsood,Aqib Ilyas,Khawar Ali,AV Lalcheta,Khurram Nawaz,Sultan Ahmed,Naseem Khushi,Bilal Khan,Kaleemullah,Mohammad Nadeem,1074959
Nizakat Khan,Aizaz Khan,Babar Hayat,Anshuman Rath,Waqas Khan,Shahid Wasif,Ehsan Khan,C Carter,Ehsan Nawaz,Nadeem Ahmed,Tanveer Ahmed,Zeeshan Maqsood,A Poulose,Aqib Ilyas,Khawar Ali,Khurram Nawaz,Sultan Ahmed,Mehran Khan,Naseem Khushi,Mohammad Nadeem,Bilal Khan,Kaleemullah,1074961
Mohammad Shahzad,Najeeb Tarakai,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Karim Janat,Najibullah Zadran,Rashid Khan,Gulbadin Naib,Dawlat Zadran,Fareed Ahmad,Rohan Mustafa,Mohammad Shahzad (2),Shaiman Anwar,Ghulam Shabber,Rameez Shahzad,Muhammad Usman,Amjad Javed,Ahmed Raza,Mohammad Naveed,Imran Haider,Zahoor Khan,1074962
BN Cooper,MJG Rippon,TP Visee,W Barresi,PW Borren,RE van der Merwe,MP O'Dowd,PM Seelaar,T van der Gugten,Ahsan Malik,PA van Meekeren,HG Munsey,KJ Coetzer,MH Cross,CS MacLeod,RD Berrington,CD Wallace,CD de Lange,SM Sharif,JH Davey,MRJ Watt,BTJ Wheal,1074964
PR Stirling,SW Poynter,WTS Porterfield,KJ O'Brien,GC Wilson,GJ Thompson,AR McBrine,GH Dockrell,J Mulder,WB Rankin,CA Young,Rohan Mustafa,Ghulam Shabber,Shaiman Anwar,Mohammad Shahzad (2),Rameez Shahzad,Muhammad Usman,Amjad Javed,Ahmed Raza,Mohammad Naveed,Imran Haider,Zahoor Khan,1074965
Nizakat Khan,Aizaz Khan,Babar Hayat,Anshuman Rath,Waqas Khan,Shahid Wasif,Ehsan Khan,C Carter,Ehsan Nawaz,Nadeem Ahmed,Tanveer Ahmed,PW Borren,MJG Rippon,BN Cooper,W Barresi,RE van der Merwe,MP O'Dowd,PM Seelaar,TP Visee,T van der Gugten,Ahsan Malik,PA van Meekeren,1074966
Zeeshan Maqsood,A Poulose,Aqib Ilyas,Khawar Ali,Khurram Nawaz,AV Lalcheta,Naseem Khushi,Sultan Ahmed,Mohammad Nadeem,Kaleemullah,Bilal Khan,HG Munsey,KJ Coetzer,MH Cross,CS MacLeod,CD Wallace,CD de Lange,RD Berrington,SM Sharif,MA Leask,MRJ Watt,CB Sole,1074968
Mohammad Shahzad,Nawroz Mangal,Asghar Stanikzai,Samiullah Shenwari,Mohammad Nabi,Dawlat Zadran,Gulbadin Naib,Najibullah Zadran,Rashid Khan,Amir Hamza,Fareed Ahmad,Zeeshan Maqsood,Khawar Ali,Aqib Ilyas,Mehran Khan,Khurram Nawaz,AV Lalcheta,Naseem Khushi,Mohammad Nadeem,Sultan Ahmed,Bilal Khan,Kaleemullah,1074969
PR Stirling,SW Poynter,WTS Porterfield,KJ O'Brien,GC Wilson,AR McBrine,GJ Thompson,GH Dockrell,J Mulder,WB Rankin,CA Young,KJ Coetzer,MH Cross,CS MacLeod,HG Munsey,RD Berrington,SM Sharif,CD de Lange,CD Wallace,JH Davey,MRJ Watt,BTJ Wheal,1074970
