player_id,Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,Cumulative Mat,Cumulative Inns,Cumulative Overs,Cumulative Runs,Cumulative Wkts,Cumulative Econ,Cumulative Mat,Cumulative Inns,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I
6483c062,A Dizija,Serbia,2022,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
6483c062,A Dizija,Serbia,2023,10,10,303,30.3,115.64,10,2.0,4.0,79.0,0.0,19.75,10,10.0,2.0,2.0,0.0,0.2
6483c062,A Dizija,Serbia,2023/24,14,13,414,31.85,130.27,14,2.0,4.0,79.0,0.0,19.75,14,13.0,2.0,2.0,0.0,0.15
6483c062,A Dizija,Serbia,2024,16,15,420,28.0,119.57,16,4.0,10.099999904632568,128.0,2.0,13.85,16,15.0,2.0,2.0,0.0,0.13
677c18f9,A Djorovic,Serbia,2019/20,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
677c18f9,A Djorovic,Serbia,2021,2,2,11,5.5,42.3,2,2.0,6.0,32.0,0.0,5.33,2,2.0,0.0,0.0,0.0,0.0
677c18f9,A Djorovic,Serbia,2022,6,5,17,3.4,52.92,6,6.0,15.300000190734863,136.0,1.0,9.07,6,6.0,0.0,0.0,0.0,0.0
677c18f9,A Djorovic,Serbia,2023/24,9,6,32,5.33,54.1,9,9.0,21.300000190734863,215.0,1.0,10.43,9,9.0,2.0,2.0,0.0,0.22
02888f23,A Donovan,Philippines,2024,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ec064d97,A Dowling,Bulgaria,2024,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
803dbf1d,A Dutt,Netherlands,2021,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
803dbf1d,A Dutt,Netherlands,2022,4,1,0,0.0,0.0,4,4.0,7.0,76.0,3.0,10.85,4,4.0,0.0,0.0,0.0,0.0
803dbf1d,A Dutt,Netherlands,2023/24,5,1,0,0.0,0.0,5,5.0,11.0,96.0,4.0,9.68,5,5.0,1.0,1.0,0.0,0.2
803dbf1d,A Dutt,Netherlands,2024,9,3,1,0.67,22.22,9,9.0,25.0,222.0,8.0,9.38,9,9.0,1.0,1.0,0.0,0.11
b8889eb7,A Faletar,Croatia,2023,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4a8d1b14,A Ferguson,Argentina,2019/20,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4a8d1b14,A Ferguson,Argentina,2021/22,5,3,88,44.0,88.0,5,0.0,0.0,0.0,0.0,0.0,5,5.0,2.0,2.0,0.0,0.4
4a8d1b14,A Ferguson,Argentina,2022/23,11,9,221,36.83,105.11,11,0.0,0.0,0.0,0.0,0.0,11,11.0,3.0,3.0,0.0,0.27
4a8d1b14,A Ferguson,Argentina,2023/24,17,15,372,32.16,97.98,17,0.0,0.0,0.0,0.0,0.0,17,17.0,5.0,5.0,0.0,0.29
ddc0828d,A Flintoff,England,2005,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
ddc0828d,A Flintoff,England,2006/07,1,1,6,6.0,120.0,1,1.0,3.0,15.0,0.0,5.0,1,1.0,1.0,1.0,0.0,1.0
ddc0828d,A Flintoff,England,2007/08,2,2,6,3.0,60.0,2,2.0,7.0,51.0,0.0,7.0,2,2.0,1.0,1.0,0.0,0.5
e87c009a,A Gasteratos,Greece,2022,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
e87c009a,A Gasteratos,Greece,2024,2,1,4,4.0,40.0,2,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0
c725d464,A Gavde,Cayman Islands,2019,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
34ab1e6e,A Gbla,Sierra Leone,2021/22,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
34ab1e6e,A Gbla,Sierra Leone,2022/23,8,7,51,8.5,94.44,8,5.0,17.0,110.0,9.0,6.47,8,8.0,0.0,0.0,0.0,0.0
34ab1e6e,A Gbla,Sierra Leone,2023/24,15,12,88,8.04,89.35,15,10.0,26.199999809265137,166.0,16.0,6.23,15,15.0,1.0,1.0,0.0,0.07
c6b11959,A Gorawara,Hong Kong,2022/23,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
c6b11959,A Gorawara,Hong Kong,2023/24,2,2,21,10.5,116.66,2,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,2.0,0.0,1.0
c6b11959,A Gorawara,Hong Kong,2024,3,3,29,9.67,99.99,3,0.0,0.0,0.0,0.0,0.0,3,3.0,2.0,2.0,0.0,0.67
a6e4e6f9,A Govorko,Croatia,2024,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
df1b4c8f,A Halbhavi,Luxembourg,2021,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
df1b4c8f,A Halbhavi,Luxembourg,2022,3,3,25,8.33,75.75,3,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0
df1b4c8f,A Halbhavi,Luxembourg,2023,4,4,39,9.75,77.4,4,0.0,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0
df1b4c8f,A Halbhavi,Luxembourg,2023/24,15,15,217,14.46,107.66,15,0.0,0.0,0.0,0.0,0.0,15,15.0,2.0,2.0,0.0,0.13
bbafa5d6,A Harris,Bahamas,2021/22,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
bbafa5d6,A Harris,Bahamas,2022,1,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0
034d3c52,A Husain,Argentina,2019/20,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
034d3c52,A Husain,Argentina,2021/22,5,1,2,2.0,200.0,5,4.0,10.0,51.0,1.0,5.1,5,5.0,1.0,1.0,0.0,0.2
034d3c52,A Husain,Argentina,2022/23,10,2,8,4.0,150.0,10,8.0,24.0,117.0,7.0,4.9,10,10.0,4.0,4.0,0.0,0.4
034d3c52,A Husain,Argentina,2024/25,15,5,13,2.6,102.85,15,13.0,36.0,191.0,11.0,5.39,15,15.0,4.0,4.0,0.0,0.27
4d733a54,A Ilaoa,Samoa,2022/23,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4d733a54,A Ilaoa,Samoa,2024,1,1,0,0.0,0.0,1,1.0,3.0,28.0,2.0,9.33,1,1.0,0.0,0.0,0.0,0.0
e64c35df,A Johnmary,France,2021,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
a28a7fba,A Johnson,Canada,2022/23,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
a28a7fba,A Johnson,Canada,2023/24,7,7,402,67.0,166.8,7,0.0,0.0,0.0,0.0,0.0,7,7.0,3.0,3.0,0.0,0.43
a28a7fba,A Johnson,Canada,2024,12,12,589,58.56,174.44,12,0.0,0.0,0.0,0.0,0.0,12,12.0,6.0,6.0,0.0,0.5
0abf3da7,A Kadowaki Fleming,Japan,2024,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
c7acf05f,A Kainessie,Sierra Leone,2023/24,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8930a2a6,A Kalasi,Thailand,2023,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
8930a2a6,A Kalasi,Thailand,2024,1,1,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0
8930a2a6,A Kalasi,Thailand,2024/25,6,4,13,3.25,81.25,6,5.0,16.0,59.0,5.0,3.68,6,6.0,2.0,2.0,0.0,0.33
5f77f4ec,A Kansonkho,Malawi,2021/22,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
5f77f4ec,A Kansonkho,Malawi,2023,6,3,22,11.0,115.78,6,0.0,0.0,0.0,0.0,0.0,6,6.0,5.0,5.0,0.0,0.83
2835af2a,A Kapoor,Canada,2022/23,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
357f5314,A Karn,Nepal,2015,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
53d0b0dc,A Kaul,Singapore,2022/23,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
53d0b0dc,A Kaul,Singapore,2023/24,4,4,69,17.25,81.17,4,0.0,0.0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0
53d0b0dc,A Kaul,Singapore,2024,7,6,97,20.83,91.45,7,0.0,0.0,0.0,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0
e27cff77,A Khan,Denmark,2021/22,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
e27cff77,A Khan,Denmark,2022,5,4,33,8.25,86.84,5,5.0,12.0,75.0,3.0,6.25,5,5.0,0.0,0.0,0.0,0.0
e27cff77,A Khan,England,2008/09,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2deb4082,A Kheterpal,Hungary,2021,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2deb4082,A Kheterpal,Hungary,2022,4,4,52,17.33,115.55,4,4.0,16.0,120.0,5.0,7.5,4,4.0,0.0,0.0,0.0,0.0
2deb4082,A Kheterpal,Hungary,2023,13,13,195,25.13,118.74,13,13.0,49.400001525878906,379.0,7.0,7.63,13,13.0,2.0,2.0,0.0,0.15
d953bf92,A Kirschbaum,Argentina,2021/22,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
d953bf92,A Kirschbaum,Argentina,2022/23,6,6,19,3.8,55.88,6,6.0,18.100000381469727,136.0,4.0,7.48,6,6.0,5.0,5.0,0.0,0.83
d953bf92,A Kirschbaum,Argentina,2023/24,12,12,76,6.65,65.44,12,12.0,41.10000038146973,306.0,8.0,7.44,12,12.0,7.0,7.0,0.0,0.58
d953bf92,A Kirschbaum,Argentina,2024/25,14,13,95,7.6,69.54,14,14.0,46.10000038146973,331.0,10.0,7.09,14,14.0,7.0,7.0,0.0,0.5
13598ebc,A Krishna,Singapore,2019,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
13598ebc,A Krishna,Singapore,2019/20,3,2,5,5.0,166.66,3,3.0,10.0,86.0,4.0,8.6,3,3.0,0.0,0.0,0.0,0.0
13598ebc,A Krishna,Singapore,2022,7,3,5,3.33,111.11,7,7.0,23.100000381469727,194.0,12.0,8.37,7,7.0,0.0,0.0,0.0,0.0
13598ebc,A Krishna,Singapore,2023,12,6,29,5.67,103.55,12,12.0,38.5,333.0,17.0,8.58,12,12.0,1.0,1.0,0.0,0.08
