Player,Country,Season,Cumulative Mat,Cumulative Inns,Cumulative Dis,Cumulative Ct,Cumulative St,Cumulative D/I,player_id
A Kirschbaum,Argentina,2022/23,6,6.0,5.0,5.0,0.0,0.83,d953bf92
A Kirschbaum,Argentina,2023/24,12,12.0,7.0,7.0,0.0,0.58,d953bf92
A Kirschbaum,Argentina,2024/25,14,14.0,7.0,7.0,0.0,0.5,d953bf92
A Krishna,Singapore,2019,0,0.0,0.0,0.0,0.0,0.0,13598ebc
A Krishna,Singapore,2019/20,3,3.0,0.0,0.0,0.0,0.0,13598ebc
A Krishna,Singapore,2022,7,7.0,0.0,0.0,0.0,0.0,13598ebc
A Krishna,Singapore,2023,12,12.0,1.0,1.0,0.0,0.08,13598ebc
A Krishna,Singapore,2023/24,16,16.0,2.0,2.0,0.0,0.13,13598ebc
A Limdawala,Malawi,2022,0,0.0,0.0,0.0,0.0,0.0,2bcbcac3
A Limdawala,Malawi,2022/23,3,3.0,0.0,0.0,0.0,0.0,2bcbcac3
A Limdawala,Malawi,2023,10,10.0,2.0,2.0,0.0,0.2,2bcbcac3
A Limdawala,Malawi,2023/24,13,13.0,6.0,6.0,0.0,0.46,2bcbcac3
A Limdawala,Malawi,2024,18,18.0,12.0,12.0,0.0,0.67,2bcbcac3
A Limdawala,Malawi,2024/25,28,28.0,17.0,17.0,0.0,0.61,2bcbcac3
A Magdalenic,Croatia,2023,0,0.0,0.0,0.0,0.0,0.0,d6a2f3a5
A Magdalenic,Croatia,2024,6,5.0,0.0,0.0,0.0,0.0,d6a2f3a5
A Maheshwari,Croatia,2022,0,0.0,0.0,0.0,0.0,0.0,3ec513ea
A Maheshwari,Croatia,2023,3,3.0,0.0,0.0,0.0,0.0,3ec513ea
A Maheshwari,Croatia,2024,5,5.0,2.0,2.0,0.0,0.4,3ec513ea
A Manatos,Greece,2021,0,0.0,0.0,0.0,0.0,0.0,eebc0141
A Manepalli,Luxembourg,2020,0,0.0,0.0,0.0,0.0,0.0,36101309
A Manepalli,Luxembourg,2021,2,2.0,3.0,3.0,0.0,1.5,36101309
A Manepalli,Luxembourg,2022,6,6.0,7.0,7.0,0.0,1.17,36101309
A Manepalli,Luxembourg,2024,7,7.0,8.0,8.0,0.0,1.14,36101309
A Manousis,Greece,2019/20,0,0.0,0.0,0.0,0.0,0.0,b672e825
A Manousis,Greece,2021,3,3.0,2.0,2.0,0.0,0.67,b672e825
A Manousis,Greece,2022,7,7.0,4.0,2.0,2.0,0.57,b672e825
A Mansale,Vanuatu,2018/19,0,0.0,0.0,0.0,0.0,0.0,a22b4f3f
A Mansale,Vanuatu,2019,4,4.0,2.0,2.0,0.0,0.5,a22b4f3f
A Mansale,Vanuatu,2019/20,9,9.0,2.0,2.0,0.0,0.22,a22b4f3f
A Mansale,Vanuatu,2022,14,14.0,5.0,5.0,0.0,0.36,a22b4f3f
A Mansale,Vanuatu,2022/23,20,20.0,7.0,7.0,0.0,0.35,a22b4f3f
A Mansale,Vanuatu,2023,21,21.0,7.0,7.0,0.0,0.33,a22b4f3f
A Mansale,Vanuatu,2023/24,27,27.0,11.0,11.0,0.0,0.41,a22b4f3f
A Mansale,Vanuatu,2024,28,28.0,13.0,13.0,0.0,0.46,a22b4f3f
A Martel,Guernsey,2022,0,0.0,0.0,0.0,0.0,0.0,65cd62a9
A Martel,Guernsey,2023,2,2.0,0.0,0.0,0.0,0.0,65cd62a9
A Martel,Guernsey,2024,7,7.0,0.0,0.0,0.0,0.0,65cd62a9
A Martin,West Indies,2011/12,0,0.0,0.0,0.0,0.0,0.0,3cacbb57
A McAuley,Isle of Man,2020,0,0.0,0.0,0.0,0.0,0.0,39e599c8
A McAuley,Isle of Man,2021/22,1,1.0,0.0,0.0,0.0,0.0,39e599c8
A McAuley,Isle of Man,2022,5,5.0,2.0,2.0,0.0,0.4,39e599c8
A McAuley,Isle of Man,2022/23,9,9.0,2.0,2.0,0.0,0.22,39e599c8
A McAuley,Isle of Man,2023,15,15.0,3.0,3.0,0.0,0.2,39e599c8
A McAuley,Isle of Man,2024,18,17.0,3.0,3.0,0.0,0.18,39e599c8
A Mehmood,Hong Kong,2015/16,0,0.0,0.0,0.0,0.0,0.0,7cefb2a2
A Mehmood,Hong Kong,2023,2,2.0,0.0,0.0,0.0,0.0,7cefb2a2
A Mehmood,Hong Kong,2024,3,3.0,0.0,0.0,0.0,0.0,7cefb2a2
A Mene-Ejegi,Serbia,2022,0,0.0,0.0,0.0,0.0,0.0,e4f13acd
A Mene-Ejegi,Serbia,2023/24,11,11.0,5.0,5.0,0.0,0.45,e4f13acd
A Mene-Ejegi,Serbia,2024,12,12.0,5.0,5.0,0.0,0.42,e4f13acd
A Mishra,India,2010,0,0.0,0.0,0.0,0.0,0.0,6b19d823
A Mishra,India,2013/14,1,1.0,0.0,0.0,0.0,0.0,6b19d823
A Mishra,India,2016,7,7.0,0.0,0.0,0.0,0.0,6b19d823
A Mishra,India,2016/17,8,8.0,1.0,1.0,0.0,0.13,6b19d823
A Modi,Singapore,2022/23,0,0.0,0.0,0.0,0.0,0.0,4edfc785
A Mongar,Bhutan,2023,0,0.0,0.0,0.0,0.0,0.0,940255af
A Morris,Cayman Islands,2019,0,0.0,0.0,0.0,0.0,0.0,04cf2e94
A Morris,Cayman Islands,2022,6,6.0,0.0,0.0,0.0,0.0,04cf2e94
A Morris,Cayman Islands,2023/24,8,8.0,0.0,0.0,0.0,0.0,04cf2e94
A Mundra,Sweden,2024,0,0.0,0.0,0.0,0.0,0.0,30ffaf85
A Mustafa,Argentina,2021/22,0,0.0,0.0,0.0,0.0,0.0,a4571ba9
A Mustafa,Argentina,2022/23,1,1.0,2.0,2.0,0.0,2.0,a4571ba9
A Mutreja,Singapore,2022,0,0.0,0.0,0.0,0.0,0.0,a2ec22d2
A Mutreja,Singapore,2023,6,6.0,4.0,4.0,0.0,0.67,a2ec22d2
A Mutreja,Singapore,2024,8,8.0,6.0,6.0,0.0,0.75,a2ec22d2
A Nanda,Luxembourg,2019,0,0.0,0.0,0.0,0.0,0.0,704e0160
A Nanda,Luxembourg,2020,3,3.0,0.0,0.0,0.0,0.0,704e0160
A Nanda,Luxembourg,2021,5,5.0,0.0,0.0,0.0,0.0,704e0160
A Nanda,Luxembourg,2022,8,8.0,3.0,3.0,0.0,0.38,704e0160
A Nanda,Luxembourg,2023,14,14.0,3.0,3.0,0.0,0.21,704e0160
A Nanda,Luxembourg,2023/24,24,24.0,5.0,5.0,0.0,0.21,704e0160
A Nanda,Luxembourg,2024,26,26.0,9.0,9.0,0.0,0.35,704e0160
A Nao,Papua New Guinea,2017,0,0.0,0.0,0.0,0.0,0.0,4d1ec7eb
A Nao,Papua New Guinea,2021/22,2,2.0,0.0,0.0,0.0,0.0,4d1ec7eb
A Nao,Papua New Guinea,2023,3,3.0,0.0,0.0,0.0,0.0,4d1ec7eb
A Nao,Papua New Guinea,2023/24,10,10.0,3.0,3.0,0.0,0.3,4d1ec7eb
A Nao,Papua New Guinea,2024,14,14.0,5.0,5.0,0.0,0.36,4d1ec7eb
A Nathwani,Austria,2019,0,0.0,0.0,0.0,0.0,0.0,f1c4f2ea
A Nathwani,Austria,2021,5,5.0,1.0,1.0,0.0,0.2,f1c4f2ea
A Nathwani,Austria,2022,7,7.0,2.0,2.0,0.0,0.29,f1c4f2ea
