Player
AC Gilchrist
P Buccimazza
MV Matsau
Ahsan Khan
Bilal Aftab
U Bhagwan
RJ Trott
N Knights
Mamoon Latif
Shahid Mahmood
S Daniel
BM Narasimha
RL Vitas
SA Ahmad
Musa Twala
TJ Stephenson
C Vorster
GB Hogg
Muhammad Amin
Umar Gul
S Clarke
HB Kayondo
D Cato
VJ Kingma
S Thakur
U Aryaman Sunil
RP Magar
Kuldeep Yadav
C Zavoiu
AR Berenger
D Myers
Wei Guo Lei
IKEG Artawan
ID Matic
W Perchard
DAS Gunaratne
Saim Hussain
Shabir Noori
T Langa
CD Barnwell
Harmeet Singh
KTGD Prasad
Ali Hasan
A Denuwan
Ansar Iqbal
Shahid Afridi
M Levitt
Abdul Waheed
KMDN Kulasekara
TL Best
A Lark
Muhammad Afis
TM Dowlin
Vinay Iyer
T Bukenya
RA Tripathi
Maidul Islam
Ahmed Wardak
ML Nkala
J van Heerden
W Jackson
OP Stone
Nazril Rahman
E Kahamker
N Nankov
MDKJ Perera
R Davson
Mubeen Tariq
Tariq Aziz
Basil Hameed
Murid Ekrami
PC Connell
Sharafuddin Ashraf
B Geeves
M Akhigbe
BAW Mendis
P Dakainivanua
K Yamamoto-Lake
AD Hales
Javed Maroofkhail
Shaheen Shah Afridi
SC Getkate
VE Tembo
W Niyitanga
Vishal Ahir
S Navaratne
Ihsanullah
TW Nightingale
A Johnson
BB Chari
L Makgale
A Faletar
JH Davey
HS Baidwan
GJ Snyman
M Jansen
CN Ackermann
HV Patel
M Jenkinson
LB Ferbrache
CAK Rajitha
NB Budayair
Fakhrul Mohon
DE Roache
I Uboh
S Mills
KP Meiyappan
Fayaz Khan
HJ Manenti
Nazakat Ali
R Trumpelmann
Mohammad Ishaq
GG Alta
A Harikumar
Ahmed Raza
T Chopel
J Ghadiyali
Z Groenewald
A Ahmadhel
W Dlamini
M Chauhan
Aftab Ahmed
LD Madushanka
Mohammad Amin
JB Little
Raaz Mohammad
D Samarawickrama
G Dutta
N Nipiko
Yuvraj Singh
H Masakadza
M Mwamadi
TB Robinson
Gulsan Jha
RE Levi
Aslam Mohammad
R Tari
