match_id,flip,gender,Cumulative Won team1,Cumulative Lost team1,Cumulative Tied team1,Cumulative NR team1,Cumulative W/L team1,Cumulative AveRPW team1,Cumulative AveRPO team1,Cumulative Won team2,Cumulative Lost team2,Cumulative Tied team2,Cumulative NR team2,Cumulative W/L team2,Cumulative AveRPW team2,Cumulative AveRPO team2
387563,0,0,16,8,0,0,2.0,24.25,7.72,8,12,0,1,0.67,27.22,8.06
387563,1,0,8,12,0,1,0.67,27.22,8.06,16,8,0,0,2.0,24.25,7.72
387564,0,0,16,8,0,0,2.0,24.25,7.72,8,12,0,1,0.67,27.22,8.06
387564,1,0,8,12,0,1,0.67,27.22,8.06,16,8,0,0,2.0,24.25,7.72
392615,0,0,11,9,0,0,1.22,31.11,8.62,12,3,1,0,4.0,24.87,7.79
392615,1,0,12,3,1,0,4.0,24.87,7.79,11,9,0,0,1.22,31.11,8.62
401076,0,0,4,5,2,0,0.8,23.34,8.24,3,7,0,0,0.43,16.22,7.37
401076,1,0,3,7,0,0,0.43,16.22,7.37,4,5,2,0,0.8,23.34,8.24
403385,0,0,8,5,0,0,1.6,22.41,7.84,8,11,2,0,0.73,20.87,7.69
403385,1,0,8,11,2,0,0.73,20.87,7.69,8,5,0,0,1.6,22.41,7.84
403386,0,0,8,5,0,0,1.6,22.41,7.84,8,11,2,0,0.73,20.87,7.69
403386,1,0,8,11,2,0,0.73,20.87,7.69,8,5,0,0,1.6,22.41,7.84
406197,0,0,11,12,0,1,0.92,29.15,8.39,8,8,2,0,1.0,23.69,8.25
406197,1,0,8,8,2,0,1.0,23.69,8.25,11,12,0,1,0.92,29.15,8.39
406198,0,0,11,12,0,1,0.92,29.15,8.39,8,8,2,0,1.0,23.69,8.25
406198,1,0,8,8,2,0,1.0,23.69,8.25,11,12,0,1,0.92,29.15,8.39
406207,0,0,11,12,0,1,0.92,29.15,8.39,19,5,1,0,3.8,26.31,7.71
406207,1,0,19,5,1,0,3.8,26.31,7.71,11,12,0,1,0.92,29.15,8.39
412677,0,0,8,11,2,0,0.73,22.63,7.92,7,7,0,1,1.0,16.44,6.41
412677,1,0,7,7,0,1,1.0,16.44,6.41,8,11,2,0,0.73,22.63,7.92
